Date;Years;3 Month Forward Rate
13/08/2025;0.002739726;2.03%
15/09/2025;0.093150685;2.00%
13/10/2025;0.169863014;1.97%
13/11/2025;0.254794521;1.95%
15/12/2025;0.342465753;1.93%
13/01/2026;0.421917808;1.91%
13/02/2026;0.506849315;1.90%
13/03/2026;0.583561644;1.89%
13/04/2026;0.668493151;1.88%
13/05/2026;0.750684932;1.88%
15/06/2026;0.84109589;1.89%
13/07/2026;0.917808219;1.89%
13/08/2026;1.002739726;1.90%
14/09/2026;1.090410959;1.92%
13/10/2026;1.169863014;1.93%
13/11/2026;1.254794521;1.95%
14/12/2026;1.339726027;1.97%
13/01/2027;1.421917808;1.99%
15/02/2027;1.512328767;2.01%
15/03/2027;1.589041096;2.03%
13/04/2027;1.668493151;2.05%
13/05/2027;1.750684932;2.08%
14/06/2027;1.838356164;2.10%
13/07/2027;1.917808219;2.12%
13/08/2027;2.002739726;2.15%
13/09/2027;2.087671233;2.17%
13/10/2027;2.169863014;2.19%
15/11/2027;2.260273973;2.21%
13/12/2027;2.336986301;2.23%
13/01/2028;2.421917808;2.25%
14/02/2028;2.509589041;2.27%
13/03/2028;2.58630137;2.29%
13/04/2028;2.671232877;2.30%
15/05/2028;2.75890411;2.32%
13/06/2028;2.838356164;2.33%
13/07/2028;2.920547945;2.35%
14/08/2028;3.008219178;2.36%
13/09/2028;3.090410959;2.37%
13/10/2028;3.17260274;2.38%
13/11/2028;3.257534247;2.40%
13/12/2028;3.339726027;2.41%
15/01/2029;3.430136986;2.42%
13/02/2029;3.509589041;2.43%
13/03/2029;3.58630137;2.44%
13/04/2029;3.671232877;2.45%
14/05/2029;3.756164384;2.47%
13/06/2029;3.838356164;2.48%
13/07/2029;3.920547945;2.49%
13/08/2029;4.005479452;2.50%
13/09/2029;4.090410959;2.51%
15/10/2029;4.178082192;2.52%
13/11/2029;4.257534247;2.53%
13/12/2029;4.339726027;2.54%
14/01/2030;4.42739726;2.55%
13/02/2030;4.509589041;2.56%
13/03/2030;4.58630137;2.58%
15/04/2030;4.676712329;2.59%
13/05/2030;4.753424658;2.60%
13/06/2030;4.838356164;2.61%
15/07/2030;4.926027397;2.62%
13/08/2030;5.005479452;2.63%
13/09/2030;5.090410959;2.64%
14/10/2030;5.175342466;2.65%
13/11/2030;5.257534247;2.66%
13/12/2030;5.339726027;2.67%
13/01/2031;5.424657534;2.69%
13/02/2031;5.509589041;2.70%
13/03/2031;5.58630137;2.71%
15/04/2031;5.676712329;2.72%
13/05/2031;5.753424658;2.73%
13/06/2031;5.838356164;2.74%
14/07/2031;5.923287671;2.75%
13/08/2031;6.005479452;2.76%
15/09/2031;6.095890411;2.77%
13/10/2031;6.17260274;2.78%
13/11/2031;6.257534247;2.80%
15/12/2031;6.345205479;2.81%
13/01/2032;6.424657534;2.82%
13/02/2032;6.509589041;2.83%
15/03/2032;6.594520548;2.84%
13/04/2032;6.673972603;2.85%
13/05/2032;6.756164384;2.86%
14/06/2032;6.843835616;2.87%
13/07/2032;6.923287671;2.88%
13/08/2032;7.008219178;2.89%
13/09/2032;7.093150685;2.90%
13/10/2032;7.175342466;2.91%
15/11/2032;7.265753425;2.92%
13/12/2032;7.342465753;2.93%
13/01/2033;7.42739726;2.94%
14/02/2033;7.515068493;2.95%
14/03/2033;7.591780822;2.96%
13/04/2033;7.673972603;2.97%
13/05/2033;7.756164384;2.98%
13/06/2033;7.84109589;2.99%
13/07/2033;7.923287671;3.00%
15/08/2033;8.01369863;3.01%
13/09/2033;8.093150685;3.02%
13/10/2033;8.175342466;3.03%
14/11/2033;8.263013699;3.03%
13/12/2033;8.342465753;3.04%
13/01/2034;8.42739726;3.05%
13/02/2034;8.512328767;3.06%
13/03/2034;8.589041096;3.07%
13/04/2034;8.673972603;3.08%
15/05/2034;8.761643836;3.08%
13/06/2034;8.84109589;3.09%
13/07/2034;8.923287671;3.10%
14/08/2034;9.010958904;3.11%
13/09/2034;9.093150685;3.12%
13/10/2034;9.175342466;3.12%
13/11/2034;9.260273973;3.13%
13/12/2034;9.342465753;3.14%
15/01/2035;9.432876712;3.15%
13/02/2035;9.512328767;3.15%
13/03/2035;9.589041096;3.16%
13/04/2035;9.673972603;3.17%
14/05/2035;9.75890411;3.17%
13/06/2035;9.84109589;3.18%
13/07/2035;9.923287671;3.18%
13/08/2035;10.00821918;3.19%
