level,Date,EUR Swap Euribor 3M
0,05/26/2025,2.09
0,05/27/2025,2.07
0,05/28/2025,2.06
0,05/29/2025,2.04
0,05/30/2025,2.04
0,06/02/2025,2.03
0,06/03/2025,2.02
0,06/04/2025,2.01
0,06/05/2025,2.00
0,06/06/2025,2.00
0,06/09/2025,2.00
0,06/10/2025,2.00
0,06/11/2025,2.00
0,06/12/2025,2.02
0,06/13/2025,2.04
0,06/16/2025,2.04
0,06/17/2025,2.06
0,06/18/2025,2.05
0,06/19/2025,2.08
0,06/20/2025,2.07
0,06/23/2025,2.07
0,06/24/2025,2.04
0,06/25/2025,2.03
0,06/26/2025,2.02
0,06/27/2025,1.98
0,06/30/2025,1.98
0,07/01/2025,2.00
0,07/02/2025,2.00
0,07/03/2025,1.98
0,07/04/2025,2.02
0,07/07/2025,1.98
0,07/08/2025,1.99
0,07/09/2025,2.01
0,07/10/2025,2.04
0,07/11/2025,2.07
0,07/14/2025,2.08
0,07/15/2025,2.08
0,07/16/2025,2.06
0,07/17/2025,2.06
0,07/18/2025,2.03
0,07/21/2025,2.01
0,07/22/2025,1.98
0,07/23/2025,1.98
0,07/24/2025,1.99
0,07/25/2025,2.01
0,07/28/2025,2.06
0,07/29/2025,2.07
0,07/30/2025,2.06
0,07/31/2025,2.05
0,08/01/2025,2.03
0,08/04/2025,2.03
0,08/05/2025,2.01
0,08/06/2025,2.02
0,08/07/2025,2.04
0,08/08/2025,2.06
0,08/11/2025,2.07
0,08/12/2025,2.07
